raw_school,raw_project,canonical
University of Cambridge,MPhil in Data Intensive Science,University of Cambridge MPhil in Data Intensive Science
University of Cambridge,"MPhil in Industrial Systems, Manufacture, and Management","University of Cambridge MPhil in Industrial Systems, Manufacture, and Management"
University of Cambridge,MPhil in NeuroAI & Intelligent Systems,University of Cambridge MPhil in NeuroAI & Intelligent Systems
University of Cambridge,MPhil in Population Health Sciences,University of Cambridge MPhil in Population Health Sciences
University of Cambridge,Mphil Population health science (health data science),University of Cambridge MPhil in Population Health Sciences
University of Cambridge,Mphil in Population Health Science ,University of Cambridge MPhil in Population Health Sciences
University of Cambridge,Mphil in Quantitative Climate and Environmental Science,University of Cambridge MPhil in Quantitative Climate and Environmental Science
University of Cambridge,MPhil Scientific Computing,University of Cambridge MPhil in Scientific Computing
University of Cambridge,MPhil in Scientific Computing,University of Cambridge MPhil in Scientific Computing
University of Cambridge,"MPhil in Strategy, Marketing, Operations and Organisational Behaviour","University of Cambridge MPhil in Strategy, Marketing, Operations and Organisational Behaviour"
University of Chicago,MS in Computer Science Program,University of Chicago Master's Program in Computer Science (MPCS)
University of Chicago,Applied Data Science,University of Chicago MS in Applied Data Science
University of Chicago,MS in Applied Data Science,University of Chicago MS in Applied Data Science
University of Chicago,Master of Science in Applied Data Science,University of Chicago MS in Applied Data Science
University of Chicago,Computational and Applied Math,University of Chicago MS in Computational and Applied Mathematics (MCAM)
University of Chicago,Master’s Program in Computational and Applied Mathematics (MCAM),University of Chicago MS in Computational and Applied Mathematics (MCAM)
University of Chicago,Pre-Doctoral MS in Computer Science Program,University of Chicago Pre-Doctoral MS in Computer Science Program
University of Copenhagen,MSc in Mathematics,University of Copenhagen MSc in Mathematics
University of Edinburgh,MS in Data Science ,University of Edinburgh MSc Data Science
University of Edinburgh,Data Science,University of Edinburgh MSc Data Science
University of Edinburgh,MSc in Artificial Intelligence,University of Edinburgh MSc in Artificial Intelligence
University of Edinburgh,MSc Operational Research with Data Science ,University of Edinburgh MSc Operational Research with Data Science
University of Edinburgh,MSc in Operational Research with Data Science,University of Edinburgh MSc Operational Research with Data Science
University of Edinburgh,Msc Statistics and Data Science,University of Edinburgh MSc Statistics and Data Science
University of Edinburgh,MSc Statistics and Operational Research,University of Edinburgh MSc Statistics and Operational Research
University of Edinburgh,MSc in Statistics with Data Science,University of Edinburgh MSc Statistics with Data Science
University of Edinburgh,MSc Statistics with Data Science,University of Edinburgh MSc Statistics with Data Science
University of Helsinki,MSc Life Science Informatics,University of Helsinki Master's Programme in Life Science Informatics
University of Leeds,MSc Mathematics,University of Leeds MSc Mathematics
University of Manchester,MSc in Data Science,University of Manchester MSc Data Science
University of Manchester,Msc Data Science,University of Manchester MSc Data Science
University of Manchester,digital marketing,University of Manchester MSc Digital Marketing
University of Manchester,hds,University of Manchester MSc hds
University of Manchester,MSc in Advance Computer Science,University of Manchester MSc in Advanced Computer Science
